stock_number,year,make,model,days_on_lot,purchase_price,sale_price,front_gross,back_gross,salesperson,date_sold
UC2024056,2018,Hyundai,Ioniq,51,14500,18495,3995,1050,Amanda Foster,2024-07-17
UC2024057,2019,Kia,Niro,32,17800,21495,3695,1420,Tom Rodriguez,2024-07-20
UC2024058,2017,BMW,i3,79,18900,23995,5095,1750,Lisa Park,2024-07-24
UC2024059,2020,Audi,e-tron,20,38500,43995,5495,3250,Derek Williams,2024-07-27
UC2024060,2018,Jaguar,I-PACE,54,29800,35995,6195,2480,Mike Johnson,2024-07-30
UC2024061,2019,Mercedes-Benz,EQC,40,33200,38995,5795,2850,Sarah Chen,2024-08-03
UC2024062,2017,Volvo,XC90 T8,75,28900,34995,6095,2350,Amanda Foster,2024-08-06
UC2024063,2020,Porsche,Cayenne E-Hybrid,16,56200,62995,6795,4250,Tom Rodriguez,2024-08-09
UC2024064,2018,Lexus,RX Hybrid,45,26800,31995,5195,2180,Lisa Park,2024-08-13
UC2024065,2019,Acura,MDX Hybrid,29,31200,36995,5795,2650,Derek Williams,2024-08-16
UC2024066,2017,Infiniti,QX60 Hybrid,66,21800,26995,5195,1850,Mike Johnson,2024-08-19
UC2024067,2020,Lincoln,Aviator Hybrid,12,42500,48995,6495,3580,Sarah Chen,2024-08-23
UC2024068,2018,Cadillac,CT6 Hybrid,58,24900,30995,6095,2150,Amanda Foster,2024-08-26
UC2024069,2019,Genesis,G90 Hybrid,35,36800,42995,6195,2950,Tom Rodriguez,2024-08-29
UC2024070,2017,Toyota,Highlander Hybrid,70,22500,27995,5495,1950,Lisa Park,2024-09-02
UC2024071,2020,Honda,Accord Hybrid,15,22800,26995,4195,1680,Derek Williams,2024-09-05
UC2024072,2018,Ford,Escape Hybrid,43,17200,21495,4295,1420,Mike Johnson,2024-09-08
UC2024073,2019,Chevrolet,Malibu Hybrid,38,16500,20495,3995,1250,Sarah Chen,2024-09-12
UC2024074,2017,Nissan,Altima Hybrid,74,14800,18995,4195,1180,Amanda Foster,2024-09-15
UC2024075,2020,Hyundai,Sonata Hybrid,19,20200,24495,4295,1580,Tom Rodriguez,2024-09-18
UC2024076,2018,Kia,Optima Hybrid,52,15900,19995,4095,1280,Lisa Park,2024-09-22
UC2024077,2019,Subaru,Crosstrek Hybrid,28,21500,25995,4495,1750,Derek Williams,2024-09-25
UC2024078,2017,Mazda,CX-5 Hybrid,63,18200,22995,4795,1520,Mike Johnson,2024-09-28
UC2024079,2020,Volkswagen,Passat Hybrid,14,22900,27495,4595,1850,Sarah Chen,2024-10-02
UC2024080,2018,Acura,ILX Hybrid,47,17800,22495,4695,1450,Amanda Foster,2024-10-05
UC2024081,2019,Lexus,IS Hybrid,31,25200,29995,4795,2050,Tom Rodriguez,2024-10-08
UC2024082,2017,BMW,330e,77,22500,27995,5495,1950,Lisa Park,2024-10-12
UC2024083,2020,Audi,A3 e-tron,17,24800,29995,5195,2180,Derek Williams,2024-10-15
UC2024084,2018,Mercedes-Benz,C350e,56,23900,28995,5095,2050,Mike Johnson,2024-10-18
UC2024085,2019,Volvo,S60 T8,33,28500,33995,5495,2450,Sarah Chen,2024-10-22
UC2024086,2017,Infiniti,Q50 Hybrid,69,20800,25995,5195,1750,Amanda Foster,2024-10-25
UC2024087,2020,Cadillac,CT6 Plug-in,22,36200,41995,5795,2950,Tom Rodriguez,2024-10-28
UC2024088,2018,Lincoln,MKZ Hybrid,41,21900,26995,5095,1850,Lisa Park,2024-11-01
UC2024089,2019,Genesis,G80 Hybrid,36,32500,37995,5495,2650,Derek Williams,2024-11-04
UC2024090,2017,Porsche,Panamera Hybrid,82,42800,49995,7195,3580,Mike Johnson,2024-11-07
UC2024091,2020,Tesla,Model S,9,48500,54995,6495,4050,Sarah Chen,2024-11-11
UC2024092,2018,Jaguar,XF Hybrid,50,26800,32995,6195,2180,Amanda Foster,2024-11-14
UC2024093,2019,Land Rover,Range Rover Hybrid,37,58200,64995,6795,4750,Tom Rodriguez,2024-11-17
UC2024094,2017,Maserati,Ghibli Hybrid,86,31500,38995,7495,2650,Lisa Park,2024-11-21
UC2024095,2020,Bentley,Bentayga Hybrid,25,98500,105995,7495,7250,Derek Williams,2024-11-24
UC2024096,2018,Rolls-Royce,Cullinan Hybrid,59,185000,195995,10995,12500,Mike Johnson,2024-11-27
UC2024097,2019,Ferrari,SF90 Stradale,34,385000,415995,30995,28500,Sarah Chen,2024-12-01
UC2024098,2017,Lamborghini,Revuelto,88,425000,459995,34995,32500,Amanda Foster,2024-12-04
UC2024099,2020,McLaren,Artura,21,215000,235995,20995,18500,Tom Rodriguez,2024-12-07
UC2024100,2018,Bugatti,Chiron,65,2750000,2985995,235995,225000,Lisa Park,2024-12-11
